用户ID,年龄,性别,所在城市,职业,教育程度,婚姻状况,月工资收入,经营性收入,被动收入,月总流入,月总流出,储蓄率,活期存款,理财产品,股票基金,房产估值,总资产,净资产,信用卡欠款,房贷余额,其他贷款,总负债,负债率,养老金账户余额,缴纳年限,住房公积金余额,商业保险年缴,保险保额,风险偏好,计划退休年龄,目标养老金,期望收益率下限,期望收益率上限,期望退休后的月开销,健康状况,平台月访问次数,策略采纳率,交互问答次数,个性化设置次数,反馈积极度,信任评分,住房固定支出消费,家庭公共事业消费,家居家装消费,日用杂货消费,家庭服务消费,餐饮食品消费,日常通勤消费,私家车消费消费,长途差旅消费,服饰鞋履消费,美妆护肤消费,文娱消费,运动健身消费,兴趣爱好消费,教育培训消费,书籍文具消费,求医问药消费,保健养生消费,电子设备与通信消费,礼品礼金消费,公益慈善消费,意外杂项消费,保险消费,投资理财消费,贷款利息消费
U000034,51,女,青岛,制造业工人,本科,离异,15866.55,2966.68,1261.92,20095.15,18329.97,0.09,474145.4,2528142.43,190452.2,1792175.57,4984915.600000001,4095724.66,44824.46,758326.61,86039.87,889190.94,0.18,158619.22,3,127918.91,22977.36,1537925.46,稳健,67,4394715.42,0.032,0.113,5340,差,13,0.37,14,12,0.59,36.18,72.34,188.62,21.76,162.03,707.98,442.86,1806.33,1376.44,338.52,243.07,386.49,722.19,252.56,791.99,426.23,649.95,463.69,282.3,2399.9,1167.27,122.17,1641.75,540.9,1820.64,1301.99
U000035,19,女,福州,学生,博士,未婚,144.85,3693.98,1623.54,5462.37,4796.97,0.12,287367.89,1095093.51,164822.99,61115.64,1608400.0299999998,1294158.45,31116.63,133068.1,150056.85,314241.58,0.2,0.0,0,0.0,15430.54,703292.37,激进,61,1196285.79,0.034,0.111,8457,一般,11,0.78,23,3,0.83,67.32,152.47,196.18,58.3,29.33,352.09,813.21,145.79,36.81,62.13,3.63,480.21,24.49,167.94,62.6,157.89,205.99,346.04,45.19,2.16,28.77,450.09,404.71,177.83,179.35,213.78
U000036,22,女,宁波,程序员,博士,丧偶,12229.16,1544.92,679.65,14453.73,8716.36,0.4,452328.61,1189274.3,200392.17,70937.33,1912932.4100000001,1698060.47,59518.17,6131.42,149222.35,214871.94,0.11,0.0,0,0.0,4187.09,623274.74,积极,65,3995760.29,0.038,0.065,7629,一般,1,0.22,39,1,0.77,47.69,1179.88,260.44,231.88,351.21,23.09,87.29,642.95,41.48,443.6,135.11,236.7,163.51,210.97,609.36,169.23,401.09,310.24,523.01,1325.66,633.04,116.15,15.21,145.99,433.93,25.34
U000037,34,男,重庆,教师,高中,丧偶,22480.25,6903.46,1108.9,30492.61,28635.88,0.06,379605.92,1422722.09,154209.7,661555.31,2618093.02,2378870.87,116164.59,82172.94,40884.62,239222.15,0.09,189064.82,12,20585.22,7716.69,656244.71,保守,55,2738233.98,0.032,0.068,8972,一般,17,0.66,32,11,0.35,86.01,1671.76,127.87,88.61,1477.77,776.15,1322.8,647.34,320.93,1939.68,1822.49,1345.95,360.36,1012.1,508.01,108.96,2827.8,166.91,3403.86,670.0,232.25,885.62,2340.5,1494.74,1863.64,1219.79
U000038,45,男,西安,企业管理,高中,已婚,16711.82,14189.98,4176.94,35078.74,23067.31,0.34,15642.42,1055496.58,400661.08,1854375.79,3326175.87,1812411.63,116483.63,1379654.63,17625.98,1513764.2399999998,0.46,168896.87,7,65351.48,13415.07,157294.17,平衡,64,3856121.72,0.021,0.107,11631,良,2,0.51,3,6,0.93,52.71,1214.85,184.46,431.68,160.55,2822.72,1851.69,25.83,785.21,1665.54,127.89,538.92,1586.73,22.18,767.66,226.62,1658.26,2274.89,1854.08,412.83,1272.03,1195.36,246.81,1133.83,24.22,582.46
U000039,28,男,广州,科研人员,博士,丧偶,12296.51,1507.07,1902.58,15706.16,14355.03,0.09,269092.78,1352965.16,289734.04,340566.74,2252358.7199999997,1832956.86,93497.1,128598.37,197306.39,419401.86,0.19,64641.65,5,47420.83,12489.26,937842.17,积极,64,4083483.56,0.04,0.081,6490,优,2,0.35,28,1,0.34,84.06,570.44,198.81,617.57,32.35,181.31,371.18,748.71,183.73,470.65,1039.39,457.98,126.95,11.83,976.98,10.29,994.25,360.33,1339.35,767.51,2959.31,206.73,697.69,246.07,312.91,472.71
U000040,35,男,青岛,科研人员,高中,丧偶,14072.48,3764.79,6050.06,23887.33,20320.56,0.15,622519.53,1238938.55,405483.41,2512131.53,4779073.02,4405467.63,117886.27,126493.7,129225.42,373605.39,0.08,7828.43,11,65663.74,13402.36,1045496.07,平衡,60,2137540.82,0.056,0.083,13515,一般,24,0.37,38,1,0.85,72.07,3058.11,1079.98,399.5,404.07,988.12,201.51,86.47,323.45,250.1,259.56,196.51,31.76,13.32,3249.84,412.3,358.25,840.78,181.86,2212.08,1139.95,69.18,399.26,1560.63,2138.67,465.31
U000041,55,女,武汉,医生,大专,已婚,15631.83,6667.24,5827.4,28126.47,18864.82,0.33,297347.67,3628861.9,349239.98,1175873.95,5451323.5,3887197.22,95206.6,1407003.3,61916.38,1564126.28,0.29,75335.86,21,121977.72,24459.25,1657917.95,稳健,70,4606015.93,0.015,0.1,17117,优,16,0.39,11,9,0.43,43.92,173.1,1878.5,688.88,614.66,472.15,172.24,127.57,163.6,135.52,993.27,283.07,39.14,2283.81,1413.68,1725.89,3468.03,125.47,331.42,932.55,782.13,109.76,1111.28,166.94,166.42,505.73
U000042,27,女,武汉,市场营销,本科,丧偶,14547.23,15417.49,1670.24,31634.960000000003,32958.6,-0.04,21516.07,791396.27,383153.8,65524.52,1261590.66,1023693.34,39178.87,32449.44,166269.01,237897.32,0.19,154219.56,1,108177.45,1227.76,728598.83,积极,62,4863148.72,0.041,0.105,10855,一般,25,0.46,34,7,0.52,82.56,1223.01,135.23,2958.95,435.11,195.5,3095.15,4391.48,2792.78,2337.18,1500.97,1128.17,128.27,740.0,657.26,423.93,1811.54,965.4,119.13,350.53,1620.43,111.61,2685.34,963.36,923.29,1264.99
U000043,54,女,西安,市场营销,硕士,未婚,17331.68,8373.22,1620.58,27325.480000000003,19123.71,0.3,507917.3,3230107.1,26089.9,1441771.97,5205886.27,3603514.23,58651.51,1401440.33,142280.2,1602372.04,0.31,103181.88,7,42759.45,27624.83,545582.6,平衡,67,1163068.95,0.032,0.117,11514,良,7,0.75,11,0,0.59,55.77,531.72,198.03,1344.4,1017.84,684.83,1211.87,1287.48,785.54,1156.46,762.17,726.65,614.5,890.71,110.09,1356.28,1309.72,18.92,1114.1,87.95,260.19,867.4,111.72,1086.0,1137.65,451.47
U000044,19,女,大连,自由职业,博士,未婚,14932.48,3249.8,1582.76,19765.039999999997,13218.85,0.33,140570.9,1618035.09,348035.99,69396.35,2176038.33,2023180.62,62087.18,89720.29,1050.24,152857.71,0.07,0.0,0,0.0,3842.65,1880451.9,激进,68,1000340.87,0.024,0.078,5175,良,1,0.29,40,14,0.34,84.38,161.85,459.02,1900.69,477.98,143.92,480.84,371.46,723.99,54.13,684.76,372.8,1577.04,200.13,479.03,1286.2,51.74,1324.28,557.02,33.61,171.29,589.17,33.36,417.47,203.06,464.03
U000045,50,女,杭州,企业管理,高中,离异,16323.23,31.29,3528.16,19882.68,17602.77,0.11,149851.13,2338752.16,261742.28,1081811.27,3832156.84,2715740.88,143010.55,816122.94,157282.47,1116415.96,0.29,101524.52,0,58568.06,16454.73,1271341.58,激进,66,1641426.17,0.011,0.107,12212,一般,11,0.29,20,3,0.84,77.79,17.1,15.36,268.51,460.59,1010.51,789.61,405.46,219.55,4018.51,381.45,412.3,122.71,1087.68,812.51,171.31,59.04,783.57,729.87,219.2,2069.27,112.46,388.85,1974.78,373.77,698.81
