用户ID,年龄,性别,所在城市,职业,教育程度,婚姻状况,月工资收入,经营性收入,被动收入,月总流入,月总流出,储蓄率,活期存款,理财产品,股票基金,房产估值,总资产,净资产,信用卡欠款,房贷余额,其他贷款,总负债,负债率,养老金账户余额,缴纳年限,住房公积金余额,商业保险年缴,保险保额,风险偏好,计划退休年龄,目标养老金,期望收益率下限,期望收益率上限,健康状况,平台月访问次数,策略采纳率,交互问答次数,个性化设置次数,反馈积极度,信任评分,餐饮消费,衣物消费,住房消费,交通消费,娱乐消费,教育培训消费,医疗保健消费,健身运动消费,旅行度假消费,数字产品消费,宠物消费,图书影音消费,美容护肤消费,线上购物消费,线下购物消费,奢侈品消费,家庭日用品消费,母婴消费,绿色环保消费,慈善捐赠消费
U000011,52,女,西安,律师,高中,已婚,15475.95,19476.74,7494.78,42447.47,45116.65,-0.06,194124.61,585006.36,399943.51,531157.11,1710231.5899999999,1192799.79,63493.34,269041.0,184897.46,517431.79999999993,0.3,156477.3,13,120335.27,30760.68,1621498.63,积极,58,1216390.29,0.045,0.083,一般,1,0.79,7,6,0.87,59.92,869.8,3032.43,2317.43,4180.56,2368.33,1856.21,217.33,1012.94,680.93,618.04,7981.95,1103.47,4918.81,2203.76,3499.7,1543.3,1900.65,1498.79,479.97,2832.25
U000012,27,男,天津,企业管理,高中,离异,15761.25,19337.78,558.25,35657.28,32831.11,0.08,227816.68,2305701.76,268107.87,469618.57,3271244.88,3029455.66,11995.54,194080.12,35713.56,241789.22,0.07,192506.86,2,5738.58,16763.65,691374.22,激进,60,2463772.48,0.059,0.067,一般,28,0.56,16,1,0.8,30.11,410.28,30.64,1290.9,242.67,3511.91,3831.19,3066.77,575.49,19.39,3280.91,695.81,4233.64,4125.2,2386.91,434.18,605.37,2371.15,474.48,231.2,1013.0
U000013,37,男,广州,自由职业,博士,离异,15919.54,14395.09,3003.22,33317.85,25143.06,0.25,273623.25,1146841.1,147827.6,381863.4,1950155.35,352010.9,52135.35,1410545.51,135463.59,1598144.4500000002,0.82,180561.11,9,60911.28,25928.85,607749.9,保守,56,2434496.67,0.039,0.099,良,14,0.45,13,15,0.86,92.39,819.91,99.3,927.17,4478.39,146.59,709.55,2038.45,1311.33,1159.84,1177.53,432.72,337.6,1609.86,1613.7,1960.1,2374.53,695.56,676.23,1555.05,1019.63
U000014,39,男,苏州,科研人员,博士,离异,16955.95,16131.26,1473.54,34560.75,21535.04,0.38,678915.86,1803258.22,384244.67,1366248.51,4232667.26,3112066.21,113425.52,863506.35,143669.18,1120601.05,0.26,76795.69,12,36597.67,20797.04,11089.64,积极,53,4002891.83,0.021,0.108,差,22,0.51,3,7,0.94,37.89,1815.27,2382.2,3309.97,618.53,706.19,148.0,1294.73,54.89,939.62,1173.08,506.29,1340.04,46.45,57.08,2593.24,669.67,203.77,1107.64,2203.8,364.57
U000015,54,男,重庆,企业管理,博士,未婚,16608.9,8918.27,1591.58,27118.75,27952.58,-0.03,378058.6,2781574.11,419931.44,831934.06,4411498.21,3513880.89,122872.62,726895.53,47849.17,897617.3200000001,0.2,87974.52,18,35174.04,12157.68,1786053.67,激进,52,1122683.28,0.022,0.102,差,6,0.15,13,10,0.68,57.03,78.96,1127.78,1157.54,1509.64,1926.91,5540.69,1080.73,580.35,2359.47,469.99,860.05,121.58,38.21,4891.66,2689.98,1771.69,782.48,283.18,253.14,428.56
U000016,41,女,成都,程序员,本科,丧偶,16849.38,5972.25,3899.87,26721.5,27945.9,-0.05,593367.36,1641572.73,367317.03,2399604.51,5001861.63,4096419.25,118511.1,732344.22,54587.06,905442.3799999999,0.18,97128.4,12,50419.43,21936.28,808633.34,平衡,55,4282275.48,0.056,0.119,良,17,0.12,12,0,0.36,57.86,1352.84,2128.86,1832.66,557.6,5260.15,2273.47,1372.26,1606.23,923.7,483.32,747.08,2407.88,24.62,209.48,79.96,70.6,3284.01,2065.01,1091.36,174.81
U000017,41,男,大连,制造业工人,高中,已婚,6476.2,15224.59,3791.26,25492.050000000003,24880.37,0.02,590666.24,769428.17,40953.12,58149.86,1459197.3900000004,-181859.73,71203.31,1499861.74,69992.07,1641057.12,1.12,130028.82,1,113134.98,30672.46,398721.36,平衡,50,3296010.45,0.022,0.088,优,3,0.55,6,14,0.79,79.85,298.92,894.11,798.93,1503.63,1584.41,72.87,737.71,1545.13,1099.28,3051.13,1689.49,279.52,115.02,1616.28,42.23,1385.17,4427.74,1346.56,772.15,1620.1
U000018,40,女,杭州,企业管理,大专,离异,12926.84,11515.93,9080.26,33523.03,26404.53,0.21,659029.42,594989.33,296048.93,2491714.9,4041782.58,2904106.12,31570.42,1045789.5,60316.54,1137676.46,0.28,136851.81,3,119434.08,18109.84,82138.26,激进,67,2427701.06,0.029,0.09,差,10,0.11,13,15,0.37,92.45,915.61,1178.3,4239.48,728.85,4853.36,3521.65,325.48,107.38,158.68,27.47,148.19,1716.14,110.31,573.84,2783.66,35.17,2516.28,494.56,187.84,1782.29
U000019,45,男,宁波,科研人员,硕士,丧偶,19698.8,5367.91,8517.13,33583.84,34099.87,-0.02,64997.17,2865301.35,121931.72,1394125.4,4446355.640000001,3786685.24,85446.44,568483.96,5740.0,659670.3999999999,0.15,170190.57,5,73132.49,11886.64,516704.82,保守,58,4461439.91,0.045,0.077,优,0,0.51,6,2,0.47,56.42,1680.32,2058.18,419.14,247.1,1756.8,2079.96,5891.2,673.09,588.54,1894.94,527.18,3377.78,2472.91,708.86,1758.1,1776.89,137.68,2945.53,890.2,2215.47
U000020,32,女,西安,公务员,大专,离异,15321.9,13835.74,3062.06,32219.7,28700.59,0.11,293421.5,1380397.02,212751.91,2237806.31,4124376.74,2978200.83,37710.21,1054282.41,54183.29,1146175.91,0.28,50280.74,1,108192.65,9340.22,1485762.13,保守,55,1361934.38,0.047,0.077,良,18,0.88,33,9,0.99,84.12,512.53,3001.29,655.04,14.48,3132.99,127.19,511.1,3982.12,3996.71,1132.06,1327.69,790.61,461.09,529.48,1483.28,1854.67,2083.69,2071.24,127.07,906.25
U000021,26,男,郑州,企业管理,硕士,丧偶,13427.41,11067.18,1394.83,25889.42,17168.3,0.34,486338.27,1129021.0,436359.87,287032.11,2338751.25,2165906.27,47878.49,88093.76,36872.73,172844.98,0.07,10275.34,3,17113.07,1816.55,983493.12,平衡,68,3332505.68,0.013,0.069,差,18,0.86,5,7,0.38,79.69,491.65,1845.42,364.75,105.08,130.23,1209.76,812.66,89.97,74.15,1018.84,63.76,1455.99,1033.85,71.61,74.82,3642.08,395.68,390.8,1414.12,2483.07
U000022,35,男,南京,退休人员,大专,未婚,12968.51,1204.61,9601.09,23774.21,15444.13,0.35,495779.12,1720166.33,132323.06,243562.4,2591830.91,1703752.2,28783.82,827988.37,31306.52,888078.71,0.34,81703.51,11,89071.68,8883.41,462952.47,保守,59,3663444.01,0.033,0.101,良,29,0.31,40,6,0.6,65.4,3254.94,1067.42,359.92,66.49,1144.7,623.24,420.92,1805.78,89.88,517.36,8.71,482.17,44.19,96.45,95.33,798.77,1045.08,667.61,2496.97,358.22
U000023,55,女,南京,医生,博士,丧偶,21070.43,14979.15,5692.07,41741.65,31068.53,0.26,105700.61,2582542.47,349866.84,2828028.72,5866138.640000001,5029281.89,80075.55,740692.83,16088.37,836856.75,0.14,7972.16,27,110180.09,22035.55,51729.78,积极,57,4828599.96,0.052,0.095,优,0,0.9,8,1,0.83,41.39,286.01,3732.54,13.82,3958.17,49.86,2506.23,847.73,5601.67,86.63,912.11,3936.76,836.77,1121.76,1344.7,684.98,1116.16,992.02,2615.29,52.56,372.75
U000024,42,男,南京,市场营销,大专,离异,15196.34,6666.17,6701.34,28563.850000000002,29388.39,-0.03,237458.64,2150388.39,144108.9,2835580.62,5367536.550000001,4342408.61,109017.85,825144.91,90965.18,1025127.94,0.19,62903.43,10,17388.24,25185.06,1729821.17,积极,50,3459471.74,0.037,0.085,差,6,0.51,19,15,0.74,79.4,3296.05,2424.5,667.3,1062.04,356.46,228.67,683.63,478.34,961.43,88.79,4021.27,4700.35,1314.32,842.75,406.39,1844.33,1266.55,194.73,2653.41,1897.09
U000025,21,女,青岛,学生,博士,离异,8239.3,3548.91,621.5,12409.71,7530.67,0.39,208075.25,460636.35,420702.84,56730.56,1146145.0,898679.25,87129.59,129541.94,30794.22,247465.75,0.22,0.0,0,0.0,7191.07,1669447.89,保守,65,1596789.08,0.038,0.083,一般,29,0.58,8,2,0.49,81.35,608.67,453.37,10.44,6.03,106.52,375.18,984.21,36.76,203.35,108.13,790.14,416.28,410.93,142.62,120.84,72.03,13.09,451.12,377.99,1843.0
U000026,55,女,深圳,退休人员,硕士,未婚,24494.38,11598.47,6599.41,42692.259999999995,44085.32,-0.03,379565.28,1816280.2,166219.98,2288618.03,4650683.49,3017131.16,60353.61,1399278.38,173920.34,1633552.33,0.35,196154.93,15,85769.65,8525.03,1551088.95,激进,51,1931793.47,0.034,0.115,差,12,0.41,20,4,0.65,32.41,9413.9,1340.05,2422.18,4787.51,3132.15,469.72,989.89,228.61,5091.76,1540.39,429.14,1841.21,1591.34,733.0,199.26,1840.57,1214.35,2446.19,1213.85,3160.25
U000027,20,男,深圳,金融分析师,大专,离异,18182.24,2049.89,1309.56,21541.690000000002,14587.61,0.32,234745.3,1938407.26,169280.62,346352.3,2688785.48,2289478.85,58485.3,170353.06,170468.27,399306.63,0.15,0.0,0,0.0,16296.78,1774877.37,保守,65,4425723.58,0.012,0.064,优,20,0.65,18,7,0.82,58.21,1947.4,480.76,133.89,27.18,1309.32,901.13,1133.09,222.85,136.43,13.63,401.7,829.48,463.39,535.36,2182.18,398.37,671.41,1424.54,470.0,905.5
U000028,26,女,重庆,个体商户,本科,丧偶,18466.02,5867.36,749.68,25083.06,16875.5,0.33,297453.14,1301634.54,396259.74,84991.82,2080339.2400000002,1774174.48,8054.77,174167.92,123942.07,306164.76,0.15,48165.96,4,21467.66,12819.97,507954.68,平衡,58,3500783.23,0.055,0.088,良,9,0.64,10,2,0.61,52.46,1867.88,2812.63,149.84,2459.87,638.13,281.37,578.87,3686.19,639.06,375.45,945.16,258.67,74.31,129.96,129.05,155.18,140.77,964.56,189.08,399.49
U000029,63,男,深圳,科研人员,高中,离异,20411.96,2133.07,3813.64,26358.67,20546.04,0.22,275161.32,2902008.18,10969.8,2490112.68,5678251.98,5423429.74,69661.81,12146.95,173013.48,254822.24,0.04,155662.32,3,136592.54,28987.2,1665677.8,积极,59,3990834.41,0.022,0.108,优,7,0.61,19,8,0.77,76.86,1744.17,299.53,338.21,66.09,293.07,517.17,308.53,147.11,203.6,978.17,365.99,717.41,1108.63,1856.88,63.52,2544.29,1565.69,135.09,3275.41,4017.49
U000030,38,女,福州,教师,硕士,离异,18465.43,1802.67,2951.1,23219.199999999997,22609.47,0.03,119435.25,383263.41,269703.88,2914468.74,3686871.2800000003,2083658.9,66887.4,1370230.46,166094.52,1603212.38,0.43,51394.02,15,145107.61,9267.44,1740793.92,平衡,53,2607491.25,0.014,0.105,差,7,0.79,25,11,0.36,55.65,98.89,508.69,2574.89,2164.43,320.08,368.59,726.18,1039.82,1511.11,722.3,974.28,2159.53,58.64,456.53,1960.65,3539.66,1124.74,1191.82,177.88,930.74
U000031,51,女,深圳,退休人员,硕士,丧偶,13380.66,2166.92,2338.22,17885.8,10955.27,0.39,716230.22,1992996.21,457627.95,664101.6,3830955.98,2403686.43,9608.99,1235783.03,181877.53,1427269.55,0.37,60438.03,13,17501.39,1600.74,74424.26,平衡,65,1022542.16,0.022,0.092,优,12,0.46,17,13,0.71,77.23,263.25,397.52,17.02,326.23,199.37,332.97,107.06,1856.47,755.65,953.91,1306.45,579.11,76.31,646.43,741.82,1148.26,474.2,114.54,280.11,378.59
U000032,39,男,青岛,学生,大专,未婚,16410.39,8867.66,9505.55,34783.6,35747.98,-0.03,68554.69,2022756.78,272232.93,2933527.59,5297071.99,4615990.57,45910.25,597209.46,37961.71,681081.4199999999,0.13,24431.94,14,13751.01,6723.75,1278985.84,平衡,50,727603.3,0.027,0.119,良,25,0.55,4,6,0.71,82.85,2110.44,1719.26,894.83,8753.39,1892.15,550.46,218.2,337.21,573.86,356.07,419.74,682.2,387.04,4615.86,170.01,1511.17,1073.91,8209.53,241.55,1031.13
U000033,64,男,宁波,退休人员,硕士,丧偶,19069.69,5013.08,1744.97,25827.739999999998,24033.46,0.07,24233.34,62413.37,394992.33,713794.82,1195433.8599999999,865953.44,57631.32,261369.3,10479.8,329480.42,0.28,148343.61,33,17047.4,2491.48,896550.43,保守,61,2809570.81,0.015,0.09,差,19,0.13,16,9,0.62,92.66,334.81,1973.44,4735.26,1453.69,1514.58,586.86,2621.84,369.97,698.73,990.05,1265.8,495.99,217.94,1685.15,608.46,1555.18,299.56,1172.25,1358.82,95.07
U000034,53,女,深圳,公务员,硕士,离异,20866.17,1469.81,807.9,23143.88,20925.51,0.1,54516.25,1003808.4,316538.36,1645069.3,3019932.3099999996,1371150.38,50728.93,1491941.63,106111.37,1648781.9299999997,0.55,90743.08,27,14876.77,25193.88,1705585.47,平衡,70,4449677.96,0.038,0.112,一般,13,0.46,7,13,0.54,59.48,345.54,121.54,55.13,3874.16,327.64,1397.76,247.45,963.35,1202.41,762.37,537.07,446.89,361.25,2233.42,1495.04,2823.33,111.76,1105.15,2345.89,168.36
U000035,63,女,深圳,学生,本科,已婚,20859.77,1342.67,8317.72,30520.160000000003,19734.79,0.35,89804.92,3066003.39,405884.64,1669112.21,5230805.16,4219278.49,103217.85,842379.62,65929.2,1011526.6699999999,0.19,24446.26,22,131041.11,36609.95,845873.71,积极,51,4857793.81,0.04,0.081,优,18,0.51,4,15,0.46,37.03,970.15,2093.83,170.95,1800.86,255.68,202.92,203.75,1913.33,1242.41,840.65,504.66,2381.24,565.8,1925.8,656.59,537.2,705.29,407.22,1563.24,793.22
U000036,40,男,广州,自由职业,硕士,丧偶,15532.97,579.06,2732.7,18844.73,18490.54,0.02,645076.26,1053070.26,90702.78,429754.47,2218603.77,1880577.03,85454.8,104378.13,148193.81,338026.74,0.15,194362.06,2,111916.76,6884.25,839664.99,积极,60,1208341.74,0.026,0.079,差,30,0.55,2,1,0.41,79.04,233.18,2028.15,427.39,692.08,2090.94,863.73,109.7,2480.2,871.92,359.88,132.35,1394.26,854.0,672.78,1979.58,1371.3,145.15,329.65,252.09,1202.21
U000037,29,女,广州,企业管理,高中,丧偶,14014.7,15098.86,227.64,29341.2,23911.81,0.19,167115.42,1662291.32,243316.38,333566.28,2406289.4000000004,1688624.24,4905.08,592895.09,119864.99,717665.1599999999,0.3,1537.42,4,141798.61,22022.93,1528321.79,保守,59,1976550.6,0.01,0.105,差,5,0.2,34,7,0.65,84.17,1792.49,2610.86,522.1,2147.14,146.21,2336.61,170.07,631.39,1990.26,202.54,324.72,1597.49,1587.58,1278.01,1476.48,975.76,361.74,528.97,249.91,2981.49
U000038,61,男,天津,公务员,大专,已婚,18767.03,11515.18,5734.0,36016.21,34386.46,0.05,380101.5,466452.16,10428.28,974304.54,1831286.48,599866.0,137827.41,927187.89,166405.18,1231420.48,0.67,183953.95,5,65506.77,4054.56,871353.05,保守,62,2857831.44,0.03,0.079,良,10,0.28,5,2,0.66,37.41,1364.31,798.15,965.9,4585.3,259.38,1374.96,1098.47,1472.97,28.48,3204.6,4191.35,1297.48,1858.65,3984.87,1914.0,257.89,1337.97,1454.08,859.89,2077.75
U000039,28,女,苏州,程序员,高中,离异,10631.19,12047.98,1520.43,24199.6,22451.29,0.07,102744.75,1854835.41,247058.51,377222.91,2581861.58,2226702.7,80546.98,89781.05,184830.85,355158.88,0.14,112898.36,5,147979.79,9179.11,1941946.13,平衡,60,1179308.31,0.013,0.087,优,9,0.74,37,1,0.55,34.82,4284.61,1867.31,136.18,2594.09,2085.89,748.22,915.1,520.76,57.6,417.57,1660.8,4.75,414.96,519.35,788.45,2581.42,434.86,435.81,1367.98,615.59
U000040,37,女,天津,自由职业,硕士,丧偶,15022.64,12300.17,5070.68,32393.489999999998,26930.52,0.17,371391.97,2256680.72,447938.38,1349201.11,4425212.180000001,3282733.48,100417.17,977756.18,64305.35,1142478.7000000002,0.26,95125.81,4,143658.35,14011.27,1621933.62,平衡,60,4920735.11,0.014,0.099,优,1,0.3,28,14,0.67,69.64,343.93,814.31,205.27,262.37,932.75,733.99,3330.45,608.46,1174.78,1352.56,17.82,1472.73,265.08,4388.7,217.61,724.02,120.62,7798.64,943.11,1223.35
U000041,51,男,重庆,市场营销,本科,未婚,18241.79,1318.24,945.06,20505.090000000004,19258.17,0.06,230159.05,2569254.48,328282.04,2719028.09,5846723.66,5097394.2,132738.51,500043.05,116547.9,749329.4600000001,0.13,28285.68,11,46534.76,23158.73,1324270.31,平衡,54,3177685.53,0.057,0.079,一般,12,0.61,10,4,0.77,83.88,295.72,2865.97,288.18,265.56,46.74,801.79,1044.37,85.31,1875.24,757.92,932.8,729.49,642.78,1029.45,211.75,252.05,2483.94,3666.27,586.55,396.3
U000042,29,男,苏州,制造业工人,本科,丧偶,13727.62,6834.65,1532.31,22094.58,15377.89,0.3,589986.21,379615.67,147896.05,394060.09,1511558.02,499342.59,54830.49,809656.14,147728.8,1012215.4299999999,0.67,105306.33,5,131458.92,17737.5,1194492.88,稳健,54,1230112.45,0.052,0.106,良,25,0.82,28,1,0.59,73.96,1259.59,640.87,31.36,207.06,1535.04,1311.82,33.5,306.1,320.45,1359.1,24.28,134.07,1962.3,239.86,1289.93,331.78,127.74,339.79,1562.37,2360.87
U000043,33,男,重庆,教师,大专,丧偶,13517.1,18079.49,1940.16,33536.75000000001,31496.15,0.06,359364.22,1167583.12,384719.28,2334372.11,4246038.73,3527298.68,58337.18,627991.24,32411.63,718740.05,0.17,39939.55,9,20759.78,7475.1,1282358.07,平衡,61,2995433.35,0.015,0.111,优,27,0.2,5,5,0.49,88.84,2522.86,524.74,793.62,5184.9,29.94,204.48,533.11,61.51,457.97,2001.06,1251.7,5105.45,3890.39,956.81,687.0,1092.38,2041.2,713.85,2238.49,1204.69
U000044,32,女,深圳,程序员,大专,丧偶,17877.99,10040.14,2357.78,30275.91,33220.63,-0.1,232445.86,73287.62,465412.95,2517528.86,3288675.29,1999988.89,74095.52,1187070.96,27519.92,1288686.4,0.39,57375.88,7,104410.8,4108.26,1411072.35,激进,64,3269067.16,0.055,0.061,差,6,0.77,35,13,0.38,48.73,1176.93,839.65,511.18,4345.74,2113.69,221.23,2972.87,979.45,3296.8,2357.64,811.56,33.31,458.57,1143.25,1470.96,437.11,219.94,2640.02,6097.59,1093.14
U000045,25,男,天津,律师,高中,离异,11380.72,2983.7,32.87,14397.289999999999,12348.38,0.14,133065.97,323047.89,214619.45,307404.79,978138.1000000001,737893.9,24056.42,83313.52,132874.26,240244.2,0.25,17122.79,2,0.0,14466.63,1014655.39,稳健,66,2993683.79,0.03,0.088,优,20,0.41,23,8,0.82,53.21,12.21,1616.06,82.41,565.18,210.67,531.37,693.21,1164.54,152.08,7.27,96.83,1514.69,1361.97,598.47,603.56,719.42,126.83,1616.93,356.91,317.77
U000046,31,女,南京,教师,本科,丧偶,11865.09,16270.18,1750.89,29886.16,29574.49,0.01,283419.97,1773242.59,315867.92,2434493.05,4807023.529999999,3544134.75,7067.26,1164285.6,91535.92,1262888.78,0.26,58688.51,0,118666.38,25953.66,631191.64,积极,59,2819226.15,0.059,0.093,差,8,0.13,12,9,0.55,80.75,1577.37,103.7,392.04,2887.65,186.31,1992.31,606.83,1063.07,734.35,947.54,2736.81,760.04,1801.4,1393.36,2349.0,5953.89,2843.17,521.67,68.29,655.7
U000047,52,男,广州,科研人员,硕士,离异,16673.09,6780.73,1868.17,25321.989999999998,23955.47,0.05,301224.48,2870247.17,133360.35,247834.52,3552666.52,2642363.21,65372.95,645910.73,199019.63,910303.3099999999,0.26,36091.3,9,48181.71,2850.45,1321838.44,激进,59,2506620.93,0.046,0.07,良,14,0.38,1,11,0.73,58.27,991.72,1313.46,588.22,2130.69,162.98,112.94,1883.44,989.21,1685.93,825.04,409.03,2472.16,2322.8,1715.44,459.28,1289.94,647.47,138.88,3604.09,212.73
U000048,58,男,南京,学生,本科,丧偶,19966.03,16973.39,6780.89,43720.31,35810.71,0.18,111082.42,920381.98,322581.44,1086451.75,2440497.59,2203620.43,157611.54,48577.99,30687.63,236877.16,0.1,89984.51,23,55802.01,28539.36,1147843.56,稳健,66,2151274.77,0.026,0.077,一般,3,0.12,5,15,0.66,89.38,3960.7,779.6,270.25,1030.5,2723.38,1739.26,2168.51,1419.33,1555.71,2497.17,379.16,887.34,330.02,5802.21,3806.22,53.1,1614.03,3423.57,262.89,1107.76
U000049,43,女,苏州,学生,博士,已婚,13356.83,4003.57,1357.28,18717.68,11923.65,0.36,126039.15,2247115.17,498631.2,2431539.66,5303325.18,3558306.9,131588.33,1479861.99,133567.96,1745018.28,0.33,141908.1,17,81325.7,29324.81,1702724.1,激进,70,1283409.54,0.028,0.073,优,6,0.73,7,15,0.32,66.01,1353.72,1857.11,1513.58,337.01,1038.42,975.84,201.49,925.6,19.77,475.49,137.02,67.35,41.98,624.73,217.73,676.34,35.43,198.56,406.51,819.96
U000050,24,女,郑州,自由职业,高中,离异,15959.46,4997.98,1437.74,22395.18,19323.63,0.14,415348.86,1811346.68,36875.36,486189.87,2749760.77,2460794.89,62949.18,89994.9,136021.8,288965.88,0.11,68902.96,2,0.0,4949.4,1932529.23,稳健,63,2762887.04,0.053,0.11,一般,16,0.22,10,5,0.53,76.11,243.06,622.62,1375.02,605.87,167.95,15.64,1292.46,13.61,1315.3,476.69,1771.83,1015.34,3914.89,273.49,922.98,325.52,413.95,625.36,1310.14,2621.91
